Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,278980,8750,123,48834.050781,0.002519
2,1000,0.8,0.2,50.0,1000,282010,8829,128,49219.769531,0.002601
3,1000,0.8,0.2,50.0,1000,285017,9189,151,51354.128906,0.002940
4,1000,0.8,0.2,50.0,1000,277989,8774,142,49265.683594,0.002882
5,1000,0.8,0.2,50.0,1000,284723,8851,136,49584.503906,0.002743
6,1000,0.8,0.2,50.0,1000,271010,8887,173,50313.160156,0.003438
7,1000,0.8,0.2,50.0,1000,278510,8882,163,50073.496094,0.003255
8,1000,0.8,0.2,50.0,1000,283864,8919,127,49474.894531,0.002567
9,1000,0.8,0.2,50.0,1000,291390,8992,135,50285.738281,0.002685
10,1000,0.8,0.2,50.0,1000,290084,8977,126,50775.000000,0.002482
