Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1084648,9037,121,50466.300781,0.002398
2,1000,0.8,0.2,50.0,1000,1054750,8775,115,48855.402344,0.002354
3,1000,0.8,0.2,50.0,1000,1037425,9089,155,50793.625000,0.003052
4,1000,0.8,0.2,50.0,1000,1080034,9052,147,50697.132812,0.002900
5,1000,0.8,0.2,50.0,1000,1081574,9062,121,50735.156250,0.002385
6,1000,0.8,0.2,50.0,1000,971413,8690,174,49215.062500,0.003536
7,1000,0.8,0.2,50.0,1000,1031079,8824,145,49777.222656,0.002913
8,1000,0.8,0.2,50.0,1000,1053139,8896,108,49348.007812,0.002189
9,1000,0.8,0.2,50.0,1000,1048620,8868,123,49572.542969,0.002481
10,1000,0.8,0.2,50.0,1000,1061042,8953,137,50547.070312,0.002710
