Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,543638,9130,122,50998.093750,0.002392
2,1000,0.8,0.2,50.0,1000,521766,8712,115,48495.250000,0.002371
3,1000,0.8,0.2,50.0,1000,530860,9143,156,51102.343750,0.003053
4,1000,0.8,0.2,50.0,1000,497651,8569,146,48107.250000,0.003035
5,1000,0.8,0.2,50.0,1000,543178,8979,121,50265.132812,0.002407
6,1000,0.8,0.2,50.0,1000,513070,8934,175,50636.605469,0.003456
7,1000,0.8,0.2,50.0,1000,527007,8997,146,50734.558594,0.002878
8,1000,0.8,0.2,50.0,1000,544760,9084,109,50391.859375,0.002163
9,1000,0.8,0.2,50.0,1000,526929,8819,123,49313.988281,0.002494
10,1000,0.8,0.2,50.0,1000,523153,8833,137,49882.128906,0.002746
