Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2209,1995,999,49045.929688,0.020369
2,1000,0.1,0.2,50.0,1000,2293,2074,999,50487.386719,0.019787
3,1000,0.1,0.2,50.0,1000,2243,2044,999,50203.984375,0.019899
4,1000,0.1,0.2,50.0,1000,2228,2014,999,49226.203125,0.020294
5,1000,0.1,0.2,50.0,1000,2172,1946,999,49852.566406,0.020039
6,1000,0.1,0.2,50.0,1000,2231,2017,999,49927.437500,0.020009
7,1000,0.1,0.2,50.0,1000,2305,2079,999,50348.910156,0.019842
8,1000,0.1,0.2,50.0,1000,2263,2047,999,49913.718750,0.020015
9,1000,0.1,0.2,50.0,1000,2289,2054,999,48844.085938,0.020453
10,1000,0.1,0.2,50.0,1000,2196,1990,999,50136.394531,0.019926
