Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,12779,4803,756,51733.843750,0.014613
2,1000,0.6,0.2,50.0,1000,8839,3494,998,52107.210938,0.019153
3,1000,0.6,0.2,50.0,1000,23973,8541,133,49963.683594,0.002662
4,1000,0.6,0.2,50.0,1000,24282,8782,74,49291.519531,0.001501
5,1000,0.6,0.2,50.0,1000,14865,5584,606,47701.226562,0.012704
6,1000,0.6,0.2,50.0,1000,10051,3989,976,50646.507812,0.019271
7,1000,0.6,0.2,50.0,1000,16441,6096,564,49694.902344,0.011349
8,1000,0.6,0.2,50.0,1000,25347,8790,90,50635.421875,0.001777
9,1000,0.6,0.2,50.0,1000,22276,7983,285,50538.000000,0.005639
10,1000,0.6,0.2,50.0,1000,21627,7806,251,49226.410156,0.005099
