Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,934,190,22,51859.769531,0.000424
2,1000,0.8,0.2,50.0,1000,32751,6641,602,50189.609375,0.011995
3,1000,0.8,0.2,50.0,1000,32850,6546,592,50080.476562,0.011821
4,1000,0.8,0.2,50.0,1000,32879,6600,615,50478.117188,0.012183
5,1000,0.8,0.2,50.0,1000,31794,6270,639,49208.496094,0.012986
6,1000,0.8,0.2,50.0,1000,32294,6457,653,50592.359375,0.012907
7,1000,0.8,0.2,50.0,1000,32360,6479,598,49530.699219,0.012073
8,1000,0.8,0.2,50.0,1000,31828,6455,627,49225.406250,0.012737
9,1000,0.8,0.2,50.0,1000,33338,6765,627,51393.113281,0.012200
10,1000,0.8,0.2,50.0,1000,32224,6355,642,49990.097656,0.012843
