Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2705,2147,999,50738.304688,0.019689
2,1000,0.2,0.2,50.0,1000,2782,2217,999,50052.964844,0.019959
3,1000,0.2,0.2,50.0,1000,2720,2125,998,50700.792969,0.019684
4,1000,0.2,0.2,50.0,1000,2813,2252,999,48633.457031,0.020541
5,1000,0.2,0.2,50.0,1000,2596,2109,999,50204.035156,0.019899
6,1000,0.2,0.2,50.0,1000,2759,2195,999,51155.921875,0.019529
7,1000,0.2,0.2,50.0,1000,2857,2232,998,48560.812500,0.020552
8,1000,0.2,0.2,50.0,1000,2743,2175,999,50632.996094,0.019730
9,1000,0.2,0.2,50.0,1000,2824,2232,999,50320.828125,0.019853
10,1000,0.2,0.2,50.0,1000,2702,2165,999,50369.925781,0.019833
