Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6326,3116,999,48602.687500,0.020554
2,1000,0.5,0.2,50.0,1000,6201,3108,998,50743.761719,0.019667
3,1000,0.5,0.2,50.0,1000,6033,3006,998,49348.472656,0.020224
4,1000,0.5,0.2,50.0,1000,6028,3041,999,50323.578125,0.019852
5,1000,0.5,0.2,50.0,1000,7382,3500,947,50699.425781,0.018679
6,1000,0.5,0.2,50.0,1000,18344,7439,305,49827.773438,0.006121
7,1000,0.5,0.2,50.0,1000,19619,8013,227,50444.800781,0.004500
8,1000,0.5,0.2,50.0,1000,18760,7621,282,49250.945312,0.005726
9,1000,0.5,0.2,50.0,1000,22135,8860,80,50246.546875,0.001592
10,1000,0.5,0.2,50.0,1000,15455,6468,475,49774.449219,0.009543
