Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6326,3116,999,48602.687500,0.020554
2,1000,0.5,0.2,50.0,1000,6201,3108,998,50743.761719,0.019667
3,1000,0.5,0.2,50.0,1000,6033,3006,998,49348.472656,0.020224
4,1000,0.5,0.2,50.0,1000,6028,3041,999,50323.578125,0.019852
5,1000,0.5,0.2,50.0,1000,8108,3569,977,51075.089844,0.019129
6,1000,0.5,0.2,50.0,1000,144497,7569,433,50563.500000,0.008563
7,1000,0.5,0.2,50.0,1000,6672,3295,999,49598.308594,0.020142
8,1000,0.5,0.2,50.0,1000,151675,7921,419,50818.253906,0.008245
9,1000,0.5,0.2,50.0,1000,200514,8752,188,49842.917969,0.003772
10,1000,0.5,0.2,50.0,1000,95684,6402,630,49537.933594,0.012718
