Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,3950,1611,398,50920.730469,0.007816
2,1000,0.6,0.2,50.0,1000,4025,1582,419,51945.984375,0.008066
3,1000,0.6,0.2,50.0,1000,3965,1551,387,51284.136719,0.007546
4,1000,0.6,0.2,50.0,1000,3822,1562,408,49251.417969,0.008284
5,1000,0.6,0.2,50.0,1000,3948,1587,402,50794.406250,0.007914
6,1000,0.6,0.2,50.0,1000,3986,1629,397,51590.558594,0.007695
7,1000,0.6,0.2,50.0,1000,3837,1535,361,49804.328125,0.007248
8,1000,0.6,0.2,50.0,1000,3891,1523,421,49953.898438,0.008428
9,1000,0.6,0.2,50.0,1000,3775,1462,381,48673.902344,0.007828
10,1000,0.6,0.2,50.0,1000,3980,1533,380,51580.289062,0.007367
