Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2777,2204,998,50685.257812,0.019690
2,1000,0.2,0.2,50.0,1000,2650,2133,999,51179.460938,0.019520
3,1000,0.2,0.2,50.0,1000,2727,2170,999,48256.089844,0.020702
4,1000,0.2,0.2,50.0,1000,2745,2191,999,50916.199219,0.019620
5,1000,0.2,0.2,50.0,1000,2606,2137,999,50332.402344,0.019848
6,1000,0.2,0.2,50.0,1000,2699,2173,999,50654.386719,0.019722
7,1000,0.2,0.2,50.0,1000,2912,2240,999,50205.433594,0.019898
8,1000,0.2,0.2,50.0,1000,2748,2196,998,51105.863281,0.019528
9,1000,0.2,0.2,50.0,1000,2814,2249,999,48457.574219,0.020616
10,1000,0.2,0.2,50.0,1000,2694,2145,999,50425.480469,0.019811
