Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3903,2367,839,47944.050781,0.017500
2,1000,0.4,0.2,50.0,1000,4013,2405,866,48982.285156,0.017680
3,1000,0.4,0.2,50.0,1000,3991,2371,839,49031.238281,0.017112
4,1000,0.4,0.2,50.0,1000,4094,2444,902,49987.718750,0.018044
5,1000,0.4,0.2,50.0,1000,4197,2506,936,51079.382812,0.018324
6,1000,0.4,0.2,50.0,1000,4278,2590,938,52268.964844,0.017946
7,1000,0.4,0.2,50.0,1000,4015,2427,827,49441.890625,0.016727
8,1000,0.4,0.2,50.0,1000,3994,2443,903,48933.359375,0.018454
9,1000,0.4,0.2,50.0,1000,3988,2371,823,48834.652344,0.016853
10,1000,0.4,0.2,50.0,1000,4092,2501,867,50256.152344,0.017252
