Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,20381,4091,999,49480.496094,0.020190
2,1000,0.8,0.2,50.0,1000,22189,4501,996,51051.882812,0.019510
3,1000,0.8,0.2,50.0,1000,23488,4628,997,50299.574219,0.019821
4,1000,0.8,0.2,50.0,1000,19160,3870,998,50057.136719,0.019937
5,1000,0.8,0.2,50.0,1000,45922,5295,837,50397.292969,0.016608
6,1000,0.8,0.2,50.0,1000,20588,4147,998,49851.625000,0.020019
7,1000,0.8,0.2,50.0,1000,21208,4179,998,49135.304688,0.020311
8,1000,0.8,0.2,50.0,1000,134359,7475,305,49231.015625,0.006195
9,1000,0.8,0.2,50.0,1000,20746,4112,998,50096.308594,0.019922
10,1000,0.8,0.2,50.0,1000,22128,4441,998,48795.531250,0.020453
