Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,652,125,34,50940.496094,0.000667
2,1000,0.8,0.2,50.0,1000,653,133,26,50345.882812,0.000516
3,1000,0.8,0.2,50.0,1000,746,147,29,50020.574219,0.000580
4,1000,0.8,0.2,50.0,1000,19796,4041,14,51560.136719,0.000272
5,1000,0.8,0.2,50.0,1000,36206,7184,54,48922.292969,0.001104
6,1000,0.8,0.2,50.0,1000,37116,7481,38,49859.625000,0.000762
7,1000,0.8,0.2,50.0,1000,37912,7455,22,50414.304688,0.000436
8,1000,0.8,0.2,50.0,1000,695,138,43,51003.015625,0.000843
9,1000,0.8,0.2,50.0,1000,36435,7411,25,48380.308594,0.000517
10,1000,0.8,0.2,50.0,1000,38508,7650,48,51708.531250,0.000928
