Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2315,2083,999,49218.496094,0.020297
2,1000,0.1,0.2,50.0,1000,2345,2093,999,49159.882812,0.020321
3,1000,0.1,0.2,50.0,1000,2266,2042,999,50646.574219,0.019725
4,1000,0.1,0.2,50.0,1000,2227,2009,999,50251.136719,0.019880
5,1000,0.1,0.2,50.0,1000,2210,1981,999,50495.292969,0.019784
6,1000,0.1,0.2,50.0,1000,2347,2117,999,49015.625000,0.020381
7,1000,0.1,0.2,50.0,1000,2341,2105,999,51447.304688,0.019418
8,1000,0.1,0.2,50.0,1000,2381,2164,999,50264.015625,0.019875
9,1000,0.1,0.2,50.0,1000,2352,2098,999,48775.308594,0.020482
10,1000,0.1,0.2,50.0,1000,2337,2117,999,49912.531250,0.020015
