Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,27182,6922,343,49945.496094,0.006867
2,1000,0.6,0.2,50.0,1000,37452,8901,25,49822.882812,0.000502
3,1000,0.6,0.2,50.0,1000,28384,7200,336,50152.058594,0.006700
4,1000,0.6,0.2,50.0,1000,37761,8942,20,49853.136719,0.000401
5,1000,0.6,0.2,50.0,1000,22494,5970,520,50191.292969,0.010360
6,1000,0.6,0.2,50.0,1000,23541,6248,492,50649.625000,0.009714
7,1000,0.6,0.2,50.0,1000,30301,7576,252,49889.304688,0.005051
8,1000,0.6,0.2,50.0,1000,29408,7297,300,50402.015625,0.005952
9,1000,0.6,0.2,50.0,1000,37186,8891,24,49484.308594,0.000485
10,1000,0.6,0.2,50.0,1000,36521,8733,65,50182.531250,0.001295
