Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5474,2747,999,50062.429688,0.019955
2,1000,0.5,0.2,50.0,1000,5554,2760,998,49776.882812,0.020049
3,1000,0.5,0.2,50.0,1000,5522,2769,999,49888.574219,0.020025
4,1000,0.5,0.2,50.0,1000,5296,2679,996,50649.136719,0.019665
5,1000,0.5,0.2,50.0,1000,5609,2832,998,50646.292969,0.019705
6,1000,0.5,0.2,50.0,1000,5458,2796,999,51125.625000,0.019540
7,1000,0.5,0.2,50.0,1000,5634,2814,999,48846.304688,0.020452
8,1000,0.5,0.2,50.0,1000,5449,2745,999,49101.015625,0.020346
9,1000,0.5,0.2,50.0,1000,5637,2761,999,49353.308594,0.020242
10,1000,0.5,0.2,50.0,1000,5719,2869,999,50907.531250,0.019624
