Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5474,2747,999,50062.429688,0.019955
2,1000,0.5,0.2,50.0,1000,8385,3292,899,49378.882812,0.018206
3,1000,0.5,0.2,50.0,1000,27233,6931,322,49366.574219,0.006523
4,1000,0.5,0.2,50.0,1000,5296,2679,996,50649.136719,0.019665
5,1000,0.5,0.2,50.0,1000,5609,2832,998,50646.292969,0.019705
6,1000,0.5,0.2,50.0,1000,38435,9153,12,50920.625000,0.000236
7,1000,0.5,0.2,50.0,1000,28994,7335,293,50598.304688,0.005791
8,1000,0.5,0.2,50.0,1000,5449,2745,999,49101.015625,0.020346
9,1000,0.5,0.2,50.0,1000,33062,8040,146,49442.960938,0.002953
10,1000,0.5,0.2,50.0,1000,11262,3890,809,49976.531250,0.016188
