Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,8937,3529,997,52631.175781,0.018943
2,1000,0.6,0.2,50.0,1000,8839,3494,998,52107.210938,0.019153
3,1000,0.6,0.2,50.0,1000,79783,7330,454,50328.324219,0.009021
4,1000,0.6,0.2,50.0,1000,116515,9075,149,50806.574219,0.002933
5,1000,0.6,0.2,50.0,1000,47449,5698,708,48478.695312,0.014604
6,1000,0.6,0.2,50.0,1000,10100,3971,988,50569.355469,0.019538
7,1000,0.6,0.2,50.0,1000,55694,6183,640,50091.812500,0.012777
8,1000,0.6,0.2,50.0,1000,114707,8743,164,50304.152344,0.003260
9,1000,0.6,0.2,50.0,1000,15081,4506,955,49757.812500,0.019193
10,1000,0.6,0.2,50.0,1000,99694,7974,288,50282.957031,0.005728
