Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,4038,2006,631,50821.976562,0.012416
2,1000,0.5,0.2,50.0,1000,4022,1958,610,50718.925781,0.012027
3,1000,0.5,0.2,50.0,1000,3971,1985,574,50354.601562,0.011399
4,1000,0.5,0.2,50.0,1000,3955,2042,644,49530.277344,0.013002
5,1000,0.5,0.2,50.0,1000,3867,1929,593,48649.679688,0.012189
6,1000,0.5,0.2,50.0,1000,4074,2099,632,51372.894531,0.012302
7,1000,0.5,0.2,50.0,1000,3881,1906,572,49345.886719,0.011592
8,1000,0.5,0.2,50.0,1000,3923,1961,610,49327.832031,0.012366
9,1000,0.5,0.2,50.0,1000,3920,1892,594,49297.550781,0.012049
10,1000,0.5,0.2,50.0,1000,4017,2003,586,50868.078125,0.011520
