Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3833,790,89,51300.972656,0.001735
2,1000,0.8,0.2,50.0,1000,3800,782,99,50802.691406,0.001949
3,1000,0.8,0.2,50.0,1000,3756,756,87,50311.156250,0.001729
4,1000,0.8,0.2,50.0,1000,3741,790,103,50011.972656,0.002060
5,1000,0.8,0.2,50.0,1000,3826,788,107,51041.605469,0.002096
6,1000,0.8,0.2,50.0,1000,3731,768,112,49857.390625,0.002246
7,1000,0.8,0.2,50.0,1000,3635,737,107,48509.203125,0.002206
8,1000,0.8,0.2,50.0,1000,3762,763,106,50194.265625,0.002112
9,1000,0.8,0.2,50.0,1000,3622,703,89,48451.261719,0.001837
10,1000,0.8,0.2,50.0,1000,3756,729,79,50314.574219,0.001570
