Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,7529,3019,998,50607.496094,0.019720
2,1000,0.6,0.2,50.0,1000,8034,3177,997,50359.882812,0.019798
3,1000,0.6,0.2,50.0,1000,7868,3161,998,50225.574219,0.019870
4,1000,0.6,0.2,50.0,1000,7618,3049,999,51916.136719,0.019243
5,1000,0.6,0.2,50.0,1000,7790,3065,999,50130.292969,0.019928
6,1000,0.6,0.2,50.0,1000,7703,3149,999,50151.625000,0.019920
7,1000,0.6,0.2,50.0,1000,7760,3045,998,50384.304688,0.019808
8,1000,0.6,0.2,50.0,1000,7549,3037,999,49424.015625,0.020213
9,1000,0.6,0.2,50.0,1000,7658,3002,999,49484.308594,0.020188
10,1000,0.6,0.2,50.0,1000,7829,3150,999,50374.531250,0.019831
